Dataset,R,Alpha_Min,Alpha_Max,Algorithm,L,QPS,Latency,Recall
glove,32,1.0,1.1,MCGI,50,1181.32,25651.74,75.34
glove,32,1.0,1.1,MCGI,100,670.57,45481.94,82.27
glove,32,1.0,1.1,MCGI,150,469.17,65644.15,85.46
glove,32,1.0,1.1,MCGI,200,360.98,85773.55,87.47
glove,32,1.0,1.2,Baseline,50,1218.42,24827.08,75.67
glove,32,1.0,1.2,Baseline,100,693.17,43909.29,82.54
glove,32,1.0,1.2,Baseline,150,405.94,76277.61,85.75
glove,32,1.0,1.2,Baseline,200,373.36,82757.24,87.78
glove,32,1.0,1.2,MCGI,50,754.94,41011.42,75.31
glove,32,1.0,1.2,MCGI,100,647.73,47116.42,82.31
glove,32,1.0,1.2,MCGI,150,436.93,70714.25,85.50
glove,32,1.0,1.2,MCGI,200,371.34,83335.29,87.49
glove,32,1.0,1.3,Baseline,50,1218.42,24827.08,75.67
glove,32,1.0,1.3,Baseline,100,693.17,43909.29,82.54
glove,32,1.0,1.3,Baseline,150,405.94,76277.61,85.75
glove,32,1.0,1.3,Baseline,200,373.36,82757.24,87.78
glove,32,1.0,1.3,MCGI,50,748.86,41367.62,75.40
glove,32,1.0,1.3,MCGI,100,646.17,47135.47,82.39
glove,32,1.0,1.3,MCGI,150,451.94,68272.50,85.56
glove,32,1.0,1.3,MCGI,200,365.10,84719.76,87.56
glove,32,1.0,1.4,Baseline,50,1218.42,24827.08,75.67
glove,32,1.0,1.4,Baseline,100,693.17,43909.29,82.54
glove,32,1.0,1.4,Baseline,150,405.94,76277.61,85.75
glove,32,1.0,1.4,Baseline,200,373.36,82757.24,87.78
glove,32,1.0,1.4,MCGI,50,762.93,40567.53,75.29
glove,32,1.0,1.4,MCGI,100,655.75,46522.77,82.35
glove,32,1.0,1.4,MCGI,150,438.97,70383.22,85.64
glove,32,1.0,1.4,MCGI,200,373.69,82737.44,87.64
glove,32,1.0,1.5,Baseline,50,1218.42,24827.08,75.67
glove,32,1.0,1.5,Baseline,100,693.17,43909.29,82.54
glove,32,1.0,1.5,Baseline,150,405.94,76277.61,85.75
glove,32,1.0,1.5,Baseline,200,373.36,82757.24,87.78
glove,32,1.0,1.5,MCGI,50,670.82,46352.94,75.53
glove,32,1.0,1.5,MCGI,100,679.60,44795.71,82.52
glove,32,1.0,1.5,MCGI,150,475.80,64719.15,85.71
glove,32,1.0,1.5,MCGI,200,365.80,84554.85,87.67
glove,32,1.0,1.6,Baseline,50,1218.42,24827.08,75.67
glove,32,1.0,1.6,Baseline,100,693.17,43909.29,82.54
glove,32,1.0,1.6,Baseline,150,405.94,76277.61,85.75
glove,32,1.0,1.6,Baseline,200,373.36,82757.24,87.78
glove,32,1.0,1.6,MCGI,50,760.15,40733.28,75.80
glove,32,1.0,1.6,MCGI,100,649.26,46874.97,82.62
glove,32,1.0,1.6,MCGI,150,460.59,66910.19,85.77
glove,32,1.0,1.6,MCGI,200,371.61,83321.44,87.76
glove,32,1.0,1.7,Baseline,50,1218.42,24827.08,75.67
glove,32,1.0,1.7,Baseline,100,693.17,43909.29,82.54
glove,32,1.0,1.7,Baseline,150,405.94,76277.61,85.75
glove,32,1.0,1.7,Baseline,200,373.36,82757.24,87.78
glove,32,1.0,1.7,MCGI,50,740.91,41810.13,75.59
glove,32,1.0,1.7,MCGI,100,560.68,54732.61,82.65
glove,32,1.0,1.7,MCGI,150,467.54,65866.45,85.78
glove,32,1.0,1.7,MCGI,200,360.72,85835.69,87.77
