Dataset,R,Alpha_Min,Alpha_Max,Algorithm,L,QPS,Latency,Recall
gist,64,1.0,1.8,MCGI,200,84.69,362444.48,96.78
gist,64,1.0,1.8,MCGI,200,85.36,359655.47,97.48
glove,32,1.0,1.2,Baseline,50,1170.05,25918.95,76.19
glove,32,1.0,1.2,Baseline,50,1218.42,24827.08,75.67
glove,32,1.0,1.2,Baseline,50,1170.60,25917.49,74.26
glove,32,1.0,1.2,Baseline,50,1190.93,25454.40,76.03
glove,32,1.0,1.2,Baseline,50,1157.35,26220.10,75.29
glove,32,1.0,1.2,Baseline,100,546.32,56310.72,83.22
glove,32,1.0,1.2,Baseline,100,693.17,43909.29,82.54
glove,32,1.0,1.2,Baseline,100,688.80,44181.08,81.24
glove,32,1.0,1.2,Baseline,100,547.97,56153.46,82.89
glove,32,1.0,1.2,Baseline,100,530.63,57996.81,82.17
glove,32,1.0,1.2,Baseline,150,484.25,63528.48,86.46
glove,32,1.0,1.2,Baseline,150,405.94,76277.61,85.75
glove,32,1.0,1.2,Baseline,150,410.80,75375.90,84.43
glove,32,1.0,1.2,Baseline,150,475.52,64737.46,86.12
glove,32,1.0,1.2,Baseline,150,473.24,65082.10,85.27
glove,32,1.0,1.2,Baseline,200,372.77,82997.55,88.32
glove,32,1.0,1.2,Baseline,200,373.36,82757.24,87.78
glove,32,1.0,1.2,Baseline,200,370.90,83371.88,86.47
glove,32,1.0,1.2,Baseline,200,365.22,84544.67,88.11
glove,32,1.0,1.2,Baseline,200,363.79,85210.64,87.24
glove,32,1.0,1.2,MCGI,50,1212.79,24970.26,75.77
glove,32,1.0,1.2,MCGI,50,724.99,42773.37,75.18
glove,32,1.0,1.2,MCGI,50,1168.34,25991.66,73.50
glove,32,1.0,1.2,MCGI,50,1182.14,25658.11,75.73
glove,32,1.0,1.2,MCGI,50,1214.14,24940.90,74.56
glove,32,1.0,1.2,MCGI,100,686.98,44323.56,82.89
glove,32,1.0,1.2,MCGI,100,612.79,49939.69,82.20
glove,32,1.0,1.2,MCGI,100,665.22,45843.39,80.53
glove,32,1.0,1.2,MCGI,100,672.57,45282.04,82.74
glove,32,1.0,1.2,MCGI,100,685.53,44415.73,81.55
glove,32,1.0,1.2,MCGI,150,480.70,63998.41,86.15
glove,32,1.0,1.2,MCGI,150,436.72,70731.83,85.34
glove,32,1.0,1.2,MCGI,150,466.94,66016.07,83.72
glove,32,1.0,1.2,MCGI,150,470.01,65559.93,85.88
glove,32,1.0,1.2,MCGI,150,478.98,64281.46,84.78
glove,32,1.0,1.2,MCGI,200,370.42,83552.28,88.10
glove,32,1.0,1.2,MCGI,200,364.80,84910.73,87.32
glove,32,1.0,1.2,MCGI,200,360.53,85908.40,85.81
glove,32,1.0,1.2,MCGI,200,361.99,85554.72,87.81
glove,32,1.0,1.2,MCGI,200,368.36,84051.01,86.88
glove,32,1.0,1.5,Baseline,50,1170.60,25917.49,74.26
glove,32,1.0,1.5,Baseline,50,1190.93,25454.40,76.03
glove,32,1.0,1.5,Baseline,50,1218.42,24827.08,75.67
glove,32,1.0,1.5,Baseline,50,1157.35,26220.10,75.29
glove,32,1.0,1.5,Baseline,50,1170.05,25918.95,76.19
glove,32,1.0,1.5,Baseline,100,688.80,44181.08,81.24
glove,32,1.0,1.5,Baseline,100,547.97,56153.46,82.89
glove,32,1.0,1.5,Baseline,100,693.17,43909.29,82.54
glove,32,1.0,1.5,Baseline,100,530.63,57996.81,82.17
glove,32,1.0,1.5,Baseline,100,546.32,56310.72,83.22
glove,32,1.0,1.5,Baseline,150,410.80,75375.90,84.43
glove,32,1.0,1.5,Baseline,150,475.52,64737.46,86.12
glove,32,1.0,1.5,Baseline,150,405.94,76277.61,85.75
glove,32,1.0,1.5,Baseline,150,473.24,65082.10,85.27
glove,32,1.0,1.5,Baseline,150,484.25,63528.48,86.46
glove,32,1.0,1.5,Baseline,200,370.90,83371.88,86.47
